Airport,Rank
CGI,0.0010054880343413268
BQN,0.0010023275485145913
TRI,9.993449935401196E-4
ABI,9.928632328775667E-4
EWN,9.872178860902622E-4
BFL,9.786680193517464E-4
FSM,9.700723167737708E-4
LCH,9.660593784133661E-4
OME,9.551932246261703E-4
MOT,9.457598268525404E-4
PUB,9.456222491421014E-4
SCC,9.451148117691229E-4
LSE,9.217675078556168E-4
PIB,9.203449252298612E-4
PSC,9.185661319058783E-4
IDA,9.050724150213251E-4
AZO,9.049436718083679E-4
STS,8.85287473496927E-4
MHK,8.820758580115175E-4
SJT,8.777055696652706E-4
PLN,8.774548070167047E-4
SPI,8.689518774497456E-4
SWF,8.562591258254911E-4
BET,8.517763531477925E-4
GTF,8.494147791918465E-4
OTZ,8.408916793817469E-4
PBG,8.324869300609037E-4
LNK,8.32473060694181E-4
ACV,8.191808715898001E-4
TYR,8.151914096357379E-4
ACT,8.151914096357379E-4
SUX,8.02763337724454E-4
SAF,8.006275672702617E-4
LBL,7.981051313527266E-4
HLN,7.966241327676308E-4
PHF,7.896926576810789E-4
GRI,7.857566516642006E-4
DHN,7.843858237505525E-4
ROW,7.825797916321217E-4
FLG,7.811192956761503E-4
LAW,7.789990011975871E-4
YUM,7.75177530135715E-4
USA,7.648665624643161E-4
APN,7.638212721121425E-4
ADQ,7.502012701909254E-4
PIH,7.402202393263799E-4
MQT,7.320427420622016E-4
BLV,7.291084364680249E-4
TWF,7.2702908974506E-4
SPS,7.230652790658997E-4
RDD,7.19859962918328E-4
TXK,7.197750601169768E-4
SCE,7.185447100237934E-4
DBQ,7.160051502318487E-4
MMH,7.152832693711819E-4
ORH,7.047119811924459E-4
HHH,7.009052120967604E-4
BPT,7.000337464234401E-4
VLD,6.989590868695431E-4
RFD,6.944047258010323E-4
STX,6.921408526076174E-4
BQK,6.898062222037208E-4
ABY,6.898062222037208E-4
CSG,6.867552673151132E-4
GTR,6.867552673151132E-4
PVU,6.754949100726338E-4
ERI,6.752424175281511E-4
LBE,6.711435923191086E-4
CKB,6.681900137481859E-4
UIN,6.584123131407224E-4
CPR,6.571350778117395E-4
ITH,6.555912272936419E-4
